bus_id,phase,scenario,v_re_pu,v_im_pu
B224,b,h091,-0.86596039701349747,-0.49967704430521287
B224,c,h067,0.0016123330601371388,0.99947065565575144
B224,c,h091,0.0015317541630818776,0.99950002918247749
B232,a,h067,0.86501903371799438,-0.50128300505832979
B232,a,h091,0.86459916362092426,-0.50168845558739661
B247,a,h067,0.86579698477722267,-0.50008488731314304
B247,a,h091,0.86590787391174795,-0.50013232280770026
B247,b,h067,-0.86619924576939,-0.49897382523859624
B247,b,h091,-0.86611091291645614,-0.49973598093491223
B247,c,h067,0.0010821447129817918,0.99988636562785227
B247,c,h091,0.0010872252373763658,0.99977262039285297
B259,b,h067,-0.86519095950125902,-0.49370010796445057
B259,b,h091,-0.86611091291653408,-0.49973598093565313
B263,b,h067,-0.86616032322259628,-0.49892085758936888
B263,b,h091,-0.86611091291705378,-0.49973598094701854
B284,b,h067,-0.86019670368027779,-0.47387873407006575
B284,b,h091,-0.86611091291705256,-0.49973598094701888
B285,b,h067,-0.85241005466751463,-0.46016659212164335
B285,b,h091,-0.86611091291705278,-0.49973598094701877
B299,b,h067,-0.86617456023540429,-0.49894378065355804
B299,b,h091,-0.86611091291705278,-0.49973598094701899
