bus_id,phase,scenario,p_pu,q_pu
B78,c,h027,-0.003456,-0.0007017707311511186
B79,c,h027,-0.000768,-0.00015594905136691523
B80,c,h027,-0.002304,-0.0004678471541007457
B85,a,h027,-0.000768,-0.00015594905136691523
B86,a,h027,-0.000384,-7.797452568345762e-5
B91,a,h027,-0.000384,-7.797452568345762e-5
B94,b,h027,-0.008064,-0.00163746503935261
B95,b,h027,-0.005376000000000001,-0.0010916433595684067
B97,c,h027,-0.00192,-0.00038987262841728813
B100,a,h027,-0.003456,-0.0007017707311511186
B13,a,h028,-0.000768,-0.00015594905136691523
B26,c,h028,-0.003072,-0.0006237962054676609
B27,c,h028,-0.001152,-0.00023392357705037285
B29,c,h028,-0.000768,-0.00015594905136691523
B30,c,h028,-0.000768,-0.00015594905136691523
B32,c,h028,-0.001536,-0.00031189810273383046
B40,a,h028,-0.001536,-0.00031189810273383046
B52,c,h028,-0.00384,-0.0007797452568345763
B61,c,h028,-0.001152,-0.00023392357705037285
B78,c,h028,-0.005376000000000001,-0.0010916433595684067
B79,c,h028,-0.000768,-0.00015594905136691523
B80,c,h028,-0.0026880000000000003,-0.0005458216797842034
B85,a,h028,-0.001152,-0.00023392357705037285
B86,a,h028,-0.00192,-0.00038987262841728813
B91,a,h028,-0.000768,-0.00015594905136691523
B94,b,h028,-0.00768,-0.0015594905136691525
B95,b,h028,-0.005376000000000001,-0.0010916433595684067
B97,c,h028,-0.00192,-0.00038987262841728813
B100,a,h028,-0.003456,-0.0007017707311511186
B13,a,h029,-0.000768,-0.00015594905136691523
B26,c,h029,-0.0026880000000000003,-0.0005458216797842034
B27,c,h029,-0.001536,-0.00031189810273383046
B29,c,h029,-0.001152,-0.00023392357705037285
B30,c,h029,-0.000768,-0.00015594905136691523
B32,c,h029,-0.00192,-0.00038987262841728813
B40,a,h029,-0.001536,-0.00031189810273383046
B52,c,h029,-0.00576,-0.0011696178852518642
B61,c,h029,-0.001152,-0.00023392357705037285
B78,c,h029,-0.003456,-0.0007017707311511186
B79,c,h029,-0.000768,-0.00015594905136691523
B80,c,h029,-0.0026880000000000003,-0.0005458216797842034
B85,a,h029,-0.001536,-0.00031189810273383046
B86,a,h029,-0.000384,-7.797452568345762e-5
B91,a,h029,-0.000384,-7.797452568345762e-5
B94,b,h029,-0.008064,-0.00163746503935261
B95,b,h029,-0.005376000000000001,-0.0010916433595684067
B97,c,h029,-0.002304,-0.0004678471541007457
B100,a,h029,-0.003456,-0.0007017707311511186
B13,a,h030,-0.001152,-0.00023392357705037285
B26,c,h030,-0.003072,-0.0006237962054676609
B27,c,h030,-0.002304,-0.0004678471541007457
B29,c,h030,-0.001536,-0.00031189810273383046
B30,c,h030,-0.000768,-0.00015594905136691523
B32,c,h030,-0.00192,-0.00038987262841728813
B40,a,h030,-0.00192,-0.00038987262841728813
B52,c,h030,-0.00384,-0.0007797452568345763
B61,c,h030,-0.001536,-0.00031189810273383046
B78,c,h030,-0.003456,-0.0007017707311511186
B79,c,h030,-0.000768,-0.00015594905136691523
B80,c,h030,-0.001536,-0.00031189810273383046
B85,a,h030,-0.000768,-0.00015594905136691523
B86,a,h030,-0.000768,-0.00015594905136691523
B91,a,h030,-0.000768,-0.00015594905136691523
B94,b,h030,-0.00768,-0.0015594905136691525
B95,b,h030,-0.005376000000000001,-0.0010916433595684067
B97,c,h030,-0.0026880000000000003,-0.0005458216797842034
B100,a,h030,-0.003456,-0.0007017707311511186
B13,a,h031,-0.001152,-0.00023392357705037285
B26,c,h031,-0.0026880000000000003,-0.0005458216797842034
B27,c,h031,-0.002304,-0.0004678471541007457
B29,c,h031,-0.001536,-0.00031189810273383046
B30,c,h031,-0.000768,-0.00015594905136691523
B32,c,h031,-0.003072,-0.0006237962054676609
B40,a,h031,-0.001152,-0.00031189810273383046
B52,c,h031,-0.00384,-0.0007797452568345763
B61,c,h031,-0.00192,-0.00038987262841728813
B78,c,h031,-0.00384,-0.0007797452568345763
B79,c,h031,-0.000384,-7.797452568345762e-5
B80,c,h031,-0.002304,-0.0004678471541007457
B85,a,h031,-0.001536,-0.00031189810273383046
B86,a,h031,-0.001536,-0.00031189810273383046
B91,a,h031,-0.000768,-0.00015594905136691523
B94,b,h031,-0.008064,-0.00163746503935261
B95,b,h031,-0.005376000000000001,-0.0010916433595684067
B97,c,h031,-0.0026880000000000003,-0.0005458216797842034
B100,a,h031,-0.003456,-0.0007017707311511186
B13,a,h032,-0.001536,-0.00031189810273383046
B26,c,h032,-0.0026880000000000003,-0.0005458216797842034
B27,c,h032,-0.002304,-0.0004678471541007457
B29,c,h032,-0.000768,-0.00015594905136691523
B30,c,h032,-0.000384,-7.797452568345762e-5
B32,c,h032,-0.0026880000000000003,-0.0005458216797842034
B40,a,h032,0.006144,-0.0005458216797842033
B52,c,h032,-0.00384,-0.0007797452568345763
B61,c,h032,-0.001536,-0.00031189810273383046
B78,c,h032,-0.003456,-0.0007017707311511186
B79,c,h032,-0.00192,-0.00038987262841728813
B80,c,h032,-0.003456,-0.0007017707311511186
B85,a,h032,-0.003456,-0.0007017707311511186
B86,a,h032,-0.001536,-0.00031189810273383046
B91,a,h032,-0.001536,-0.00031189810273383046
B94,b,h032,-0.009600000000000001,-0.0019493631420864407
B95,b,h032,-0.005376000000000001,-0.0010916433595684067
B97,c,h032,-0.0026880000000000003,-0.0005458216797842034
B100,a,h032,-0.003456,-0.0007017707311511186
B13,a,h033,-0.00576,-0.0011696178852518642
B26,c,h033,-0.001536,-0.00031189810273383046
B27,c,h033,-0.004224,-0.0008577197825180339
B29,c,h033,-0.000768,-0.00015594905136691523
B32,c,h033,-0.00192,-0.00038987262841728813
B40,a,h033,0.012288,-0.00031189810273383025
B52,c,h033,-0.00384,-0.0007797452568345763
B61,c,h033,-0.001536,-0.00031189810273383046
B78,c,h033,-0.003456,-0.0007017707311511186
B79,c,h033,-0.000768,-0.00015594905136691523
B80,c,h033,-0.001152,-0.00023392357705037285
B85,a,h033,-0.001152,-0.00023392357705037285
B86,a,h033,-0.00192,-0.00038987262841728813
B91,a,h033,-0.000384,-7.797452568345762e-5
B94,b,h033,-0.009600000000000001,-0.0019493631420864407
B95,b,h033,-0.00576,-0.0011696178852518642
B97,c,h033,-0.002304,-0.0004678471541007457
B100,a,h033,-0.003456,-0.0007017707311511186
B13,a,h034,-0.00192,-0.00038987262841728813
B26,c,h034,-0.001152,-0.00023392357705037285
B27,c,h034,-0.005376000000000001,-0.0010916433595684067
B29,c,h034,-0.000768,-0.00015594905136691523
B30,c,h034,-0.001152,-0.00023392357705037285
B32,c,h034,-0.003072,-0.0006237962054676609
B40,a,h034,0.021504000000000002,-0.00038987262841728786
B52,c,h034,-0.006144,-0.0012475924109353219
B61,c,h034,-0.000768,-0.00015594905136691523
B78,c,h034,-0.004608,-0.0009356943082014914
B79,c,h034,-0.000768,-0.00015594905136691523
B80,c,h034,-0.000768,-0.00015594905136691523
B85,a,h034,-0.001536,-0.00031189810273383046
B86,a,h034,-0.006144,-0.0012475924109353219
B91,a,h034,-0.000768,-0.00015594905136691523
B94,b,h034,-0.006912,-0.0014035414623022372
B95,b,h034,-0.005376000000000001,-0.0010916433595684067
B97,c,h034,-0.0026880000000000003,-0.0005458216797842034
B100,a,h034,-0.00384,-0.0007797452568345763
B13,a,h035,-0.003456,-0.0007017707311511186
B26,c,h035,-0.001536,-0.00031189810273383046
B27,c,h035,-0.005376000000000001,-0.0010916433595684067
B29,c,h035,-0.000768,-0.00015594905136691523
B30,c,h035,-0.000384,-7.797452568345762e-5
B32,c,h035,-0.008448,-0.0017154395650360679
B40,a,h035,0.023424,-0.00038987262841728846
B52,c,h035,-0.00384,-0.0007797452568345763
B61,c,h035,-0.001152,-0.00023392357705037285
B78,c,h035,-0.0026880000000000003,-0.0005458216797842034
B79,c,h035,-0.00192,-0.00038987262841728813
B80,c,h035,-0.000768,-0.00015594905136691523
B85,a,h035,-0.001152,-0.00023392357705037285
B86,a,h035,-0.001536,-0.00031189810273383046
B91,a,h035,-0.012288,-0.0024951848218706437
B94,b,h035,-0.00576,-0.0011696178852518642
B95,b,h035,-0.00576,-0.0011696178852518642
B97,c,h035,-0.003072,-0.0006237962054676609
B100,a,h035,-0.00384,-0.0007797452568345763
B13,a,h036,-0.002304,-0.0004678471541007457
B26,c,h036,-0.00192,-0.00038987262841728813
B27,c,h036,-0.0026880000000000003,-0.0005458216797842034
B29,c,h036,-0.001536,-0.00031189810273383046
B30,c,h036,-0.000384,-7.797452568345762e-5
B32,c,h036,-0.001536,-0.00031189810273383046
B40,a,h036,0.024576,-0.00038987262841728846
B52,c,h036,-0.00576,-0.0011696178852518642
B61,c,h036,-0.000768,-0.00015594905136691523
B78,c,h036,-0.001152,-0.00023392357705037285
B79,c,h036,-0.000384,-7.797452568345762e-5
B80,c,h036,-0.000768,-0.00015594905136691523
